Date,From,To,Name of Attachment
2017/9/30 8:14,seminar@x-sha.co.jp,fukunaga@as.a-sha.co.jp,=?ISO-2022-JP?B?WBskQjxSJTslXyVKITwkNDBGRmIbKEIucGRm?=
2017/9/30 8:18,fujita@t-sha.co.jp,tosaki@qw.a-sha.co.jp,=?ISO-2022-JP?B?QRskQjxSJTclOSVGJWA4ZjgrQFEkYiRqGyhCLnppcA==?=
2017/9/30 8:25,yutaka@cyber.c-sha.com,tosaki@qw.a-sha.co.jp,=?ISO-2022-JP?B?GyRCMEY3bz51NjcbKEIueGxz?=
2017/9/30 8:26,info@security.example.com,tosaki@qw.a-sha.co.jp,=?ISO-2022-JP?B?GyRCQEE1YT1xGyhCMTkzODEyLnppcA==?=
2017/9/30 8:36,info@c-corp.com,matsuyama@ui.a-sha.co.jp,=?ISO-2022-JP?B?SW9UGyRCJUglbCVzJUkbKEIucGRm?=
2017/9/30 8:43,miura@lucky.example.com,kawada@gh.a-sha.co.jp,=?ISO-2022-JP?B?GyRCQEE1YT1xGyhCNzI5MTExLnppcA==?=
2017/9/30 8:52,christophe@j-tech.com,ebina@ty.a-sha.co.jp,=?ISO-2022-JP?B?GyRCMkEzSkk9GyhCLnBkZg==?=
2017/9/30 9:02,xsystem@m-technology.com,tosaki@qw.a-sha.co.jp,=?ISO-2022-JP?B?GyRCTyJNbUBoMGxNdxsoQi54bHM=?=
2017/9/30 9:03,info@c-corp.com,yokoyama@cv.a-sha.co.jp,=?ISO-2022-JP?B?SW9UGyRCJUglbCVzJUkbKEIucGRm?=
2017/9/30 9:24,uchida@t-sha.co.jp,iwata@er.a-sha.co.jp,=?ISO-2022-JP?B?GyRCPzdAPUlKMGxNdxsoQi5wZGY=?=
2017/9/30 9:28,infomation@xxx.example.co.jp,tosaki@qw.a-sha.co.jp,=?ISO-2022-JP?B?WBskQjxSGyhCQ1NJUlQbJEIlNSE8JVMlORsoQi5wZGY=?=
2017/9/30 9:32,miyuki@t-sha.co.jp,kawada@gh.a-sha.co.jp,=?ISO-2022-JP?B?GyRCMEY3bz51NjcbKEIueGxz?=
2017/9/30 9:43,ysystem@m-technology.com,matsuyama@ui.a-sha.co.jp,=?ISO-2022-JP?B?GyRCTyJNbUBoMGxNdxsoQi54bHM=?=
2017/9/30 9:47,fujita@t-sha.co.jp,komaki@bn.a-sha.co.jp,=?ISO-2022-JP?B?QRskQjxSJTclOSVGJWA4ZjgrQFEkYiRqGyhCLnppcA==?=
2017/9/30 9:49,mirco@y-corp.com,tanabe@df.a-sha.co.jp,=?ISO-2022-JP?B?GyRCPjVHJzRqJCQbKEIucGRm?=
2017/9/30 9:59,info@yyy.example.co.jp,hamanaka@zx.a-sha.co.jp,=?ISO-2022-JP?B?GyRCJTslLSVlJWolRiUjJE4lSCVsJXMlST5wSnMbKEIucGRm?=
2017/9/30 10:21,info@xxx.freemail.com,yokoyama@cv.a-sha.co.jp,=?ISO-2022-JP?B?GyRCQEE1YT1xGyhCODAyODExLnppcA==?=
2017/9/30 10:22,nakatani@cyber.example.com,fukunaga@as.a-sha.co.jp,=?ISO-2022-JP?B?GyRCMEY3bz51NjcbKEIueGxz?=
2017/9/30 10:36,xsystem@m-technology.com,yokoyama@cv.a-sha.co.jp,=?ISO-2022-JP?B?GyRCNTs9USU7JV8lSiE8JDQwRkZiGyhCLnBkZg==?=
2017/9/30 11:49,wada@m-technology.co.jp,matsuyama@ui.a-sha.co.jp,=?ISO-2022-JP?B?GyRCTyJNbUBoMGxNdxsoQi54bHM=?=
